id,pI,M
NZ_CP034778.1_1,9.4881,49747.73
NZ_CP034778.1_2,5.0435,40481.47
NZ_CP034778.1_3,8.6067,40559.27
NZ_CP034778.1_4,5.9492,90087.17
NZ_CP034778.1_5,4.6583,29542.94
NZ_CP034778.1_7,6.2449,42246.07
NZ_CP034778.1_8,5.4165,26034.53
NZ_CP034778.1_10,4.6070,21480.73
NZ_CP034778.1_11,4.9925,42544.92
NZ_CP034778.1_12,9.7431,47215.81
NZ_CP034778.1_15,5.2504,15705.68
NZ_CP034778.1_16,4.7212,15941.86
NZ_CP034778.1_17,9.8013,26876.52
NZ_CP034778.1_18,9.0397,58868.88
NZ_CP034778.1_19,9.5585,27221.49
NZ_CP034778.1_20,7.4306,58372.67
NZ_CP034778.1_21,5.9445,49255.29
NZ_CP034778.1_25,5.4047,47512.22
NZ_CP034778.1_26,7.4630,46706.57
NZ_CP034778.1_27,6.7389,34574.32
NZ_CP034778.1_28,9.6564,41991.80
NZ_CP034778.1_29,10.0349,29335.41
NZ_CP034778.1_30,10.0506,16870.30
NZ_CP034778.1_33,4.9849,60119.18
NZ_CP034778.1_34,6.7691,10883.62
NZ_CP034778.1_35,6.1137,21074.49
NZ_CP034778.1_36,7.7679,55714.27
NZ_CP034778.1_37,8.8939,48225.34
NZ_CP034778.1_38,9.1392,50622.50
NZ_CP034778.1_40,10.4187,11683.62
NZ_CP034778.1_43,9.4262,41628.89
NZ_CP034778.1_44,4.9659,28690.88
NZ_CP034778.1_45,6.3086,40492.22
NZ_CP034778.1_46,6.9402,27523.60
NZ_CP034778.1_47,8.6314,36306.91
NZ_CP034778.1_48,8.4735,39957.18
NZ_CP034778.1_49,8.8059,30967.34
NZ_CP034778.1_50,10.7145,28361.77
NZ_CP034778.1_54,8.8249,48195.38
NZ_CP034778.1_55,4.9308,11576.55
NZ_CP034778.1_56,6.6182,34259.09
NZ_CP034778.1_57,9.3493,48802.99
NZ_CP034778.1_59,9.4407,44922.94
NZ_CP034778.1_60,6.9567,27773.53
NZ_CP034778.1_61,6.7869,25840.61
NZ_CP034778.1_62,5.0577,38150.76
NZ_CP034778.1_66,9.6381,49794.98
NZ_CP034778.1_67,5.7187,31617.31
NZ_CP034778.1_68,10.4838,41233.33
NZ_CP034778.1_69,5.2682,48114.95
NZ_CP034778.1_70,5.4012,110862.59
NZ_CP034778.1_71,5.2413,39305.43
NZ_CP034778.1_73,10.3581,24209.17
NZ_CP034778.1_74,9.0779,52944.28
NZ_CP034778.1_75,9.3498,33341.85
NZ_CP034778.1_76,6.6288,23838.77
NZ_CP034778.1_78,5.9938,18871.49
NZ_CP034778.1_79,8.7870,33601.02
NZ_CP034778.1_80,5.7038,29113.32
NZ_CP034778.1_82,4.9038,21088.15
NZ_CP034778.1_83,5.8998,28694.85
NZ_CP034778.1_84,8.7893,35576.75
NZ_CP034778.1_85,5.9660,37400.64
NZ_CP034778.1_89,5.8773,35646.59
NZ_CP034778.1_91,8.2905,51160.60
NZ_CP034778.1_92,5.6765,87588.79
NZ_CP034778.1_94,5.0678,51754.83
