NZ_CP034778.1_1	U3U6Q6
NZ_CP034778.1_2	U3U1K5
NZ_CP034778.1_3	S6BPQ8
NZ_CP034778.1_4	U3U589
NZ_CP034778.1_5	E1RAW4
NZ_CP034778.1_7	H9UGH7
NZ_CP034778.1_8	G0GA77
NZ_CP034778.1_10	I0IA15
NZ_CP034778.1_11	F5YNJ8
NZ_CP034778.1_12	Q022M8
NZ_CP034778.1_15	U3U6Y2
NZ_CP034778.1_16	S6BI38
NZ_CP034778.1_17	F0RU35
NZ_CP034778.1_18	C9RQ60
NZ_CP034778.1_19	I0I7T6
NZ_CP034778.1_20	B2KD78
NZ_CP034778.1_21	D1CH12
NZ_CP034778.1_25	F5YM45
NZ_CP034778.1_26	G8NW64
NZ_CP034778.1_27	G8NSV2
NZ_CP034778.1_28	B1ZQU9
NZ_CP034778.1_29	D1C7Y9
NZ_CP034778.1_30	A9B8G3
NZ_CP034778.1_33	B1ZN80
NZ_CP034778.1_34	B1ZN79
NZ_CP034778.1_35	B2KBW2
NZ_CP034778.1_36	B5YIR1
NZ_CP034778.1_37	I4BWT3
NZ_CP034778.1_38	I4BWT3
NZ_CP034778.1_40	C1F786
NZ_CP034778.1_43	I3ZLZ7
NZ_CP034778.1_44	I0I2D8
NZ_CP034778.1_45	I0I2D7
NZ_CP034778.1_46	D1CI93
NZ_CP034778.1_47	I4BZ67
NZ_CP034778.1_48	B0VH36
NZ_CP034778.1_49	F5YCL7
NZ_CP034778.1_50	I0GL56
NZ_CP034778.1_54	O50980
NZ_CP034778.1_55	C0QXV3
NZ_CP034778.1_56	I0I685
NZ_CP034778.1_57	Q02CF0
NZ_CP034778.1_59	A9W9P6
NZ_CP034778.1_60	Q01S11
NZ_CP034778.1_61	Q01S12
NZ_CP034778.1_62	F5YKA3
NZ_CP034778.1_66	R4UJL6
NZ_CP034778.1_67	I0I4R0
NZ_CP034778.1_68	D1CHM4
NZ_CP034778.1_69	D4H2H4
NZ_CP034778.1_70	D4H2H3
NZ_CP034778.1_71	B5YGG4
NZ_CP034778.1_73	E6W1J1
NZ_CP034778.1_74	D1C610
NZ_CP034778.1_75	G8NVK5
NZ_CP034778.1_76	I3ZBX5
NZ_CP034778.1_78	G8P1J7
NZ_CP034778.1_79	C1AD49
NZ_CP034778.1_80	F4GKQ2
NZ_CP034778.1_82	G7V9R9
NZ_CP034778.1_83	G8NYQ4
NZ_CP034778.1_84	C1ACP7
NZ_CP034778.1_85	B1ZMX6
NZ_CP034778.1_89	G8NTH2
NZ_CP034778.1_91	I6YXK6
NZ_CP034778.1_92	A9B1K9
NZ_CP034778.1_94	F5YPI5
NZ_CP034778.1_95	C0QW75
NZ_CP034778.1_97	E1R3T5
NZ_CP034778.1_98	D1B6G5
NZ_CP034778.1_99	C0QVC0
NZ_CP034778.1_100	Q1IMB3
NZ_CP034778.1_102	B1ZMR6
NZ_CP034778.1_103	E8V0N7
NZ_CP034778.1_104	E8N2E1
NZ_CP034778.1_105	U3U8V0
NZ_CP034778.1_108	U3U745
NZ_CP034778.1_109	E3CZA1
NZ_CP034778.1_110	S6BA11
NZ_CP034778.1_111	D1CE78
NZ_CP034778.1_112	U3U6T4
NZ_CP034778.1_113	U3U8T4
NZ_CP034778.1_114	U3U724
NZ_CP034778.1_115	D1B5Q8
NZ_CP034778.1_116	G8QUE1
NZ_CP034778.1_118	U3U6T8
NZ_CP034778.1_119	I0AJR7
NZ_CP034778.1_120	Q1IQY0
NZ_CP034778.1_121	Q1IQX9
NZ_CP034778.1_122	Q1IQX8
NZ_CP034778.1_123	S6BLL7
NZ_CP034778.1_124	U3U8T8
NZ_CP034778.1_125	S6CEQ9
NZ_CP034778.1_126	S6BVT3
NZ_CP034778.1_127	U3U5E1
NZ_CP034778.1_128	S6CEQ7
NZ_CP034778.1_129	U3U1Q3
NZ_CP034778.1_130	S6BVS9
NZ_CP034778.1_131	D5EJH0
NZ_CP034778.1_132	U3U8U0
NZ_CP034778.1_133	U3U731
NZ_CP034778.1_134	U3U5E5
NZ_CP034778.1_135	B2UQP2
NZ_CP034778.1_136	D3PB58
NZ_CP034778.1_137	U3U1Q8
NZ_CP034778.1_138	B5YGE6
NZ_CP034778.1_143	U3U8U3
NZ_CP034778.1_144	U3U734
NZ_CP034778.1_145	U3U5F1
NZ_CP034778.1_146	I0AN86
NZ_CP034778.1_147	I0AN80
NZ_CP034778.1_148	H1XSL5
NZ_CP034778.1_149	O51711
NZ_CP034778.1_150	S6BV10
NZ_CP034778.1_151	S6B9D8
NZ_CP034778.1_152	S6CEC3
NZ_CP034778.1_153	S6BI08
NZ_CP034778.1_154	U3U8U7
NZ_CP034778.1_155	U3U740
NZ_CP034778.1_156	U3U5F5
NZ_CP034778.1_157	D8PHX5
NZ_CP034778.1_158	C1A4Y0
NZ_CP034778.1_159	E4TFW2
NZ_CP034778.1_160	B5YJU6
NZ_CP034778.1_164	S0EZA9
NZ_CP034778.1_165	F8F341
NZ_CP034778.1_167	F8AAM9
NZ_CP034778.1_168	B5YHA3
NZ_CP034778.1_169	D8L151
NZ_CP034778.1_170	I0I841
NZ_CP034778.1_171	H9UGZ7
NZ_CP034778.1_172	E6W0Z1
NZ_CP034778.1_173	B1ZN78
NZ_CP034778.1_174	Q1IT92
NZ_CP034778.1_175	H9UFU0
NZ_CP034778.1_176	Q1IT90
NZ_CP034778.1_177	Q022S9
NZ_CP034778.1_178	E8MZG9
NZ_CP034778.1_180	E8X3B6
NZ_CP034778.1_183	U3U1K0
NZ_CP034778.1_184	U3U583
NZ_CP034778.1_185	D8K366
NZ_CP034778.1_187	C1AEA1
NZ_CP034778.1_188	U3U9T9
NZ_CP034778.1_190	Q02CF0
NZ_CP034778.1_192	A5UPU9
NZ_CP034778.1_193	I3ZFQ5
NZ_CP034778.1_194	F0RZI9
NZ_CP034778.1_196	A9B1F5
NZ_CP034778.1_197	S6BK11
NZ_CP034778.1_198	D4H2E6
NZ_CP034778.1_199	E6W1H6
NZ_CP034778.1_200	I0I3V3
NZ_CP034778.1_202	Q1IJM7
NZ_CP034778.1_203	B2UQG2
NZ_CP034778.1_204	D4M7P7
NZ_CP034778.1_204	D4M7P7
NZ_CP034778.1_205	U3U579
NZ_CP034778.1_206	U3U6X3
NZ_CP034778.1_207	U3U8P4
NZ_CP034778.1_208	U3U6P6
NZ_CP034778.1_209	U3U1I8
NZ_CP034778.1_212	I3ZES2
NZ_CP034778.1_213	E8X1E3
NZ_CP034778.1_214	G8NVC8
NZ_CP034778.1_215	J9ZEW5
NZ_CP034778.1_217	D5MID6
NZ_CP034778.1_223	E8V0S6
NZ_CP034778.1_224	C1F830
NZ_CP034778.1_225	C1F831
NZ_CP034778.1_226	G8NVC6
NZ_CP034778.1_226	G8NVC6
NZ_CP034778.1_227	J9Z8Q4
NZ_CP034778.1_228	Q020J1
NZ_CP034778.1_229	B1ZT23
NZ_CP034778.1_230	B9L4Y9
NZ_CP034778.1_232	I3ZC65
NZ_CP034778.1_234	G8NVK5
NZ_CP034778.1_235	E8V4L7
NZ_CP034778.1_236	E3CYG0
NZ_CP034778.1_237	U3U9Q6
NZ_CP034778.1_238	I0I641
NZ_CP034778.1_240	S6BA90
NZ_CP034778.1_241	F4LNR0
NZ_CP034778.1_242	F8F425
NZ_CP034778.1_243	U3U7G0
NZ_CP034778.1_244	U3U922
NZ_CP034778.1_245	Q02C32
NZ_CP034778.1_248	U3U761
NZ_CP034778.1_249	E6W360
NZ_CP034778.1_251	D1B8B5
NZ_CP034778.1_252	E3CZ57
NZ_CP034778.1_253	B1ZS22
NZ_CP034778.1_254	E3CZ54
NZ_CP034778.1_255	B1ZS18
NZ_CP034778.1_258	F5YLE6
NZ_CP034778.1_263	D1CB88
NZ_CP034778.1_267	U3U5I1
NZ_CP034778.1_268	U3U1U8
NZ_CP034778.1_269	S6BA51
NZ_CP034778.1_270	S6BVR9
NZ_CP034778.1_271	U3U6X6
NZ_CP034778.1_272	G8NUH2
NZ_CP034778.1_273	B0SMA4
NZ_CP034778.1_274	H0UMG4
NZ_CP034778.1_275	F8EX50
NZ_CP034778.1_277	F8E4J0
NZ_CP034778.1_278	F8E4J1
NZ_CP034778.1_279	D4H627
NZ_CP034778.1_280	F8E4J3
NZ_CP034778.1_281	F8EYK4
NZ_CP034778.1_284	F8F409
NZ_CP034778.1_285	F8F410
NZ_CP034778.1_286	F8F411
NZ_CP034778.1_287	G0GCQ0
NZ_CP034778.1_288	D1B7Q6
NZ_CP034778.1_290	D4M7T3
NZ_CP034778.1_291	D1C705
NZ_CP034778.1_293	E8WVG3
NZ_CP034778.1_294	Q1IQJ7
NZ_CP034778.1_295	I0I5Y0
NZ_CP034778.1_296	G8NPI6
NZ_CP034778.1_297	G8NW64
NZ_CP034778.1_298	U3U8W2
NZ_CP034778.1_299	D5MLQ0
NZ_CP034778.1_300	A9WHI0
NZ_CP034778.1_301	C1ACL9
NZ_CP034778.1_302	S6BM36
NZ_CP034778.1_303	I0INJ6
NZ_CP034778.1_306	D1C9L6
NZ_CP034778.1_309	G8QUJ9
NZ_CP034778.1_310	A9WHL2
NZ_CP034778.1_311	B1ZZY1
NZ_CP034778.1_312	D8PCQ1
NZ_CP034778.1_313	G8NW64
NZ_CP034778.1_314	U3U5Q7
NZ_CP034778.1_315	S6BQI3
NZ_CP034778.1_316	U3U7F8
NZ_CP034778.1_319	E1R8I2
NZ_CP034778.1_321	D5MEK9
NZ_CP034778.1_322	S6CGS6
NZ_CP034778.1_323	G8P1N4
NZ_CP034778.1_324	Q1IJV5
NZ_CP034778.1_325	U3U920
NZ_CP034778.1_326	S6CGU1
NZ_CP034778.1_327	S6CFJ5
NZ_CP034778.1_328	S6BVP8
NZ_CP034778.1_330	E8N0W7
NZ_CP034778.1_331	S6CH11
NZ_CP034778.1_335	S6BMF5
NZ_CP034778.1_336	S6CH10
NZ_CP034778.1_337	U3U925
NZ_CP034778.1_339	U3U7G4
NZ_CP034778.1_340	U3U5R4
NZ_CP034778.1_341	S6CGV7
NZ_CP034778.1_342	U3U259
NZ_CP034778.1_343	S6CFM5
NZ_CP034778.1_345	D5EJ47
NZ_CP034778.1_347	B9L1U5
NZ_CP034778.1_348	U3U768
NZ_CP034778.1_349	S6BX95
NZ_CP034778.1_351	F5YJ34
NZ_CP034778.1_352	D1C4Z3
NZ_CP034778.1_353	D5MHR0
NZ_CP034778.1_355	U3U7G5
NZ_CP034778.1_356	B5YKT2
NZ_CP034778.1_357	A9QPD4
NZ_CP034778.1_359	S6BYL7
NZ_CP034778.1_360	S6CGW4
NZ_CP034778.1_361	B0SSY6
NZ_CP034778.1_362	I4BB07
NZ_CP034778.1_364	C9RN85
NZ_CP034778.1_366	Q1IHW7
NZ_CP034778.1_367	E3CZN8
NZ_CP034778.1_368	U3U770
NZ_CP034778.1_371	U3U5R9
NZ_CP034778.1_372	U3U268
NZ_CP034778.1_373	U3U773
NZ_CP034778.1_374	U3U930
NZ_CP034778.1_376	I4B996
NZ_CP034778.1_378	U3U7H1
NZ_CP034778.1_379	U3U5S3
NZ_CP034778.1_380	U3U273
NZ_CP034778.1_381	U3U776
NZ_CP034778.1_382	U3U931
NZ_CP034778.1_383	U3U7H5
NZ_CP034778.1_384	U3U5S6
NZ_CP034778.1_385	U3U275
NZ_CP034778.1_386	U3U779
NZ_CP034778.1_387	U3U933
NZ_CP034778.1_388	U3U7H9
NZ_CP034778.1_389	U3U5S9
NZ_CP034778.1_390	U3U279
NZ_CP034778.1_391	U3U783
NZ_CP034778.1_392	U3U935
NZ_CP034778.1_393	U3U7I1
NZ_CP034778.1_394	U3U5T3
NZ_CP034778.1_395	U3U282
NZ_CP034778.1_396	U3U785
NZ_CP034778.1_397	U3U938
NZ_CP034778.1_398	U3U7I5
NZ_CP034778.1_399	U3U5T6
NZ_CP034778.1_400	U3U285
NZ_CP034778.1_401	U3U939
NZ_CP034778.1_402	U3U7I9
NZ_CP034778.1_403	S6CEM7
NZ_CP034778.1_404	F8A8E8
NZ_CP034778.1_405	I0AKZ6
NZ_CP034778.1_407	I0AII1
NZ_CP034778.1_408	S6BG57
NZ_CP034778.1_409	S6BV69
NZ_CP034778.1_410	U3U290
NZ_CP034778.1_411	U3U792
NZ_CP034778.1_412	E8WXV0
NZ_CP034778.1_414	S6BG45
NZ_CP034778.1_415	U3U941
NZ_CP034778.1_416	U3U7J3
NZ_CP034778.1_418	J9ZA20
NZ_CP034778.1_420	D4H2H3
NZ_CP034778.1_421	B5YGG4
NZ_CP034778.1_422	I6ZZT7
NZ_CP034778.1_423	S6BEG7
NZ_CP034778.1_424	D5MMQ5
NZ_CP034778.1_425	S6BLC7
NZ_CP034778.1_426	I4BY99
NZ_CP034778.1_428	U3U5U3
NZ_CP034778.1_429	U3U295
NZ_CP034778.1_430	U3U795
NZ_CP034778.1_431	Q01PH5
NZ_CP034778.1_432	A5UTE6
NZ_CP034778.1_433	S6BRT5
NZ_CP034778.1_434	U3U942
NZ_CP034778.1_435	S6BQ54
NZ_CP034778.1_436	S6B9Q1
NZ_CP034778.1_437	G8NXP6
NZ_CP034778.1_438	S6BVP4
